doc_id,title,in_metadata,in_kg_doc_nodes,in_runtime_doc_id_mapping,aboutTaxon_count,aboutDisease_count,aboutLocation_count,documentProductionMode_count,has_aboutTaxon,has_aboutDisease,has_aboutLocation,has_documentProductionMode,has_at_least_1_core_fact,has_all_4_core_fact_types
FAO_042_i3720e,The State of World Fisheries and Aquaculture 2024 – Blue Transformation in action,True,True,True,1,0,1,1,True,False,True,True,True,False
NACA_001,"Status, technological innovations, and industry development needs of mud crab (Scylla spp.) aquaculture",True,True,True,1,0,1,1,True,False,True,True,True,False
NACA_002,Shrimp farm biosecurity in Saudi Arabia: A journey from past practices to future vision,True,True,True,2,1,0,1,True,True,False,True,True,False
NACA_003,"Report of the fifteenth meeting of the Asia Regional Advisory Group on Aquatic Animal Health, 21-23 November 2016",True,True,True,2,3,3,1,True,True,True,True,True,True
TCTS_001,Các bệnh thường gặp trên tôm nước lợ và biện pháp phòng chống hiệu quả,True,True,True,3,1,1,1,True,True,True,True,True,True
IJMS_001,Integrin β Regulates the Hepatopancreas Antiviral Innate Immune System by Affecting the Expression of Antimicrobial Peptides in Penaeus vannamei,True,True,True,2,1,0,1,True,True,False,True,True,False
BIOLOGY_001,Characterization and Expression Analysis of the C-Type Lectin Ladderlectin in Litopenaeus vannamei Post-WSSV Infection,True,True,True,2,1,0,1,True,True,False,True,True,False
PLOS_001,"PmVRP15, a Novel Viral Responsive Protein from the Black Tiger Shrimp, Penaeus monodon, Promoted White Spot Syndrome Virus Replication",True,True,True,2,1,0,1,True,True,False,True,True,False
SEAFDEC_001,Acute hepatopancreatic necrosis disease (AHPND)) and hepatopancreatic microsporidiosis (HPM)): Two threats to sustainable shrimp aquaculture,True,True,True,1,2,0,1,True,True,False,True,True,False
SEAFDEC_002,Status of transboundary diseases of penaeid shrimps in Singapore,True,True,True,1,2,0,1,True,True,False,True,True,False
SEAFDEC_003,Important diseases and practical control measures in shrimp culture in Japan,True,True,True,2,2,0,1,True,True,False,True,True,False
SEAFDEC_004,Advocating preventive measures that inhibit early mortality syndrome in shrimps,True,True,True,3,1,0,1,True,True,False,True,True,False
SEAFDEC_005,Status of shrimp health management in Myanmar,True,True,True,2,1,0,1,True,True,False,True,True,False
SEAFDEC_006,Status of acute hepatopancreatic necrosis disease (AHPND) of cultured shrimps in the Philippines,True,True,True,3,1,1,1,True,True,True,True,True,True
SEAFDEC_007,"Draft genome sequence of Vibrio parahaemolyticus strain PH1339, which causes acute hepatopancreatic necrosis disease in shrimp in the Philippines",True,True,True,2,2,1,1,True,True,True,True,True,True
SEAFDEC_008,Current status and impact of early mortality syndrome (EMS)/acute hepatopancreatic necrosis disease (AHPND) and hepatopancreatic microsporidiosis (HPM) outbreaks on Thailand’s shrimp farming,True,True,True,3,2,0,1,True,True,False,True,True,False
SEAFDEC_009,Current status of acute hepatopancreatic necrosis disease (AHPND) and other transboundary diseases of farmed shrimps in Indonesia,True,True,True,1,3,0,1,True,True,False,True,True,False
SEAFDEC_010,Latest research on acute hepatopancreatic necrosis disease (AHPND) of penaeid shrimps,True,True,True,1,2,0,1,True,True,False,True,True,False
