query_group,n_queries,n_rows,has_explanation_rate,top1_has_explanation_rate,query_has_any_explanation_rate,has_entity_match_rate,has_metadata_evidence_rate,has_kg_evidence_rate,has_kg_relation_or_fact_rate,mean_explanation_length
biosecurity-management,6,60,1.0,1.0,1.0,0.5,0.5,0.5,0.5,81.48333333333333
disease-specific,6,60,1.0,1.0,1.0,1.0,1.0,0.8833333333333333,0.8833333333333333,292.35
hatchery-production-mode,4,40,1.0,1.0,1.0,0.925,0.925,0.5,0.5,155.275
local,7,70,1.0,1.0,1.0,0.7285714285714285,0.7285714285714285,0.5285714285714286,0.5285714285714286,284.4428571428571
species-location,5,50,1.0,1.0,1.0,0.88,0.88,0.64,0.64,146.96
