row_index,doc_id,field_name,raw_value,status,mapped_uri_or_reason
11,FAO_012,title,Introductions and movement of Penaeus vannamei and Penaeus stylirostris in Asia and the Pacific,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_012
11,FAO_012,filePath,data/raw_docs/FAO_012_ad505e.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_012
11,FAO_012,language,English,skipped_no_predicate,predicate missing in ontology
11,FAO_012,keywords,crustacean culture; animal introduction; Penaeus stylirostris; biodiversity; viroses; fishery production; Penaeus monodon; fish diseases; trade; statistical data; Asia and the Pacific; imports; Penaeus vannamei; prawns and shrimps; disease risk; pathogen introduction,skipped_no_predicate,predicate missing in ontology
11,FAO_012,aboutTaxon,Penaeus vannamei,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Tom_the_chan_trang
11,FAO_012,aboutTaxon,Penaeus stylirostris,unmapped,no ontology match (and manual fallback failed)
11,FAO_012,aboutTaxon,shrimp,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp
11,FAO_012,aboutLocation,Asia,unmapped,no ontology match (and manual fallback failed)
11,FAO_012,aboutLocation,Pacific,unmapped,no ontology match (and manual fallback failed)
11,FAO_012,documentProductionMode,shrimp aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
12,FAO_013,docId,FAO_013,skipped_no_predicate,predicate missing in ontology
12,FAO_013,title,Surveillance and zoning for aquatic animal diseases,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_013
12,FAO_013,filePath,data/raw_docs/FAO_013_y5325e.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_013
12,FAO_013,language,English,skipped_no_predicate,predicate missing in ontology
12,FAO_013,keywords,animal health; aquaculture; disease surveillance; risk assessment; animal diseases,skipped_no_predicate,predicate missing in ontology
12,FAO_013,aboutTaxon,aquatic animals,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon
12,FAO_013,aboutTaxon,fish,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish
12,FAO_013,aboutLocation,Global,mapped,http://example.org/aqua-kg#Global
12,FAO_013,documentProductionMode,inland fisheries,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_InlandFisheries
12,FAO_013,documentProductionMode,aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
13,FAO_014,docId,FAO_014,skipped_no_predicate,predicate missing in ontology
13,FAO_014,title,GLOBEFISH Quarterly Lobster Analysis - February 2026,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_014
