"source_path","proposed_archive_path","action_status","result","message"
"outputs/archive/old_outputs/added_triples_grouped_summary.json","archive_pre_final/already_archived/outputs/archive/old_outputs/added_triples_grouped_summary.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/added_triples_sample.json","archive_pre_final/already_archived/outputs/archive/old_outputs/added_triples_sample.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/alias_metadata_noise_audit.json","archive_pre_final/already_archived/outputs/archive/old_outputs/alias_metadata_noise_audit.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/alias_metadata_noise_audit_top_terms.csv","archive_pre_final/already_archived/outputs/archive/old_outputs/alias_metadata_noise_audit_top_terms.csv","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/document_fact_backfill_report.csv","archive_pre_final/already_archived/outputs/archive/old_outputs/document_fact_backfill_report.csv","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/document_fact_backfill_report.json","archive_pre_final/already_archived/outputs/archive/old_outputs/document_fact_backfill_report.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/document_fact_backfill_report_facts.csv","archive_pre_final/already_archived/outputs/archive/old_outputs/document_fact_backfill_report_facts.csv","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/document_fact_backfill_report_facts.json","archive_pre_final/already_archived/outputs/archive/old_outputs/document_fact_backfill_report_facts.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/document_fact_coverage_audit.csv","archive_pre_final/already_archived/outputs/archive/old_outputs/document_fact_coverage_audit.csv","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/document_fact_coverage_audit.json","archive_pre_final/already_archived/outputs/archive/old_outputs/document_fact_coverage_audit.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/document_fact_coverage_audit_after_fact_backfill.csv","archive_pre_final/already_archived/outputs/archive/old_outputs/document_fact_coverage_audit_after_fact_backfill.csv","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/document_fact_coverage_audit_after_fact_backfill.json","archive_pre_final/already_archived/outputs/archive/old_outputs/document_fact_coverage_audit_after_fact_backfill.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/document_fact_coverage_audit_after_semantic_backfill.csv","archive_pre_final/already_archived/outputs/archive/old_outputs/document_fact_coverage_audit_after_semantic_backfill.csv","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/document_fact_coverage_audit_after_semantic_backfill.json","archive_pre_final/already_archived/outputs/archive/old_outputs/document_fact_coverage_audit_after_semantic_backfill.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/document_fact_coverage_audit_alias.csv","archive_pre_final/already_archived/outputs/archive/old_outputs/document_fact_coverage_audit_alias.csv","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/document_fact_coverage_audit_alias.json","archive_pre_final/already_archived/outputs/archive/old_outputs/document_fact_coverage_audit_alias.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/document_fact_coverage_audit_before_fact_backfill.csv","archive_pre_final/already_archived/outputs/archive/old_outputs/document_fact_coverage_audit_before_fact_backfill.csv","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/document_fact_coverage_audit_before_fact_backfill.json","archive_pre_final/already_archived/outputs/archive/old_outputs/document_fact_coverage_audit_before_fact_backfill.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/full_corpus_metadata_audit.json","archive_pre_final/already_archived/outputs/archive/old_outputs/full_corpus_metadata_audit.json","ready_to_move","moved","Moved successfully."
