doc_id,title,old_file_path,archive_path,reason,status,size_bytes
RIA3_002,"TBKQ - Quan trắc, cảnh báo môi trường vùng nuôi tôm hùm trong và sau mưa lũ tỉnh Phú Yên, Khánh Hòa",data/raw_docs/RIA3_002_TBKQ_QTDX_PhuYen_KhanhHoa_17112023.pdf,archive_pre_final\excluded_from_final_corpus_20260531_104204\RIA3_002_TBKQ_QTDX_PhuYen_KhanhHoa_17112023.pdf,excluded from final corpus by user decision,MOVED_VERIFIED,1670425
RIA3_003,Bản tin thông báo kết quả quan trắc (Đợt 14) tại một số tỉnh trọng điểm khu vực Nam Trung Bộ,data/raw_docs/RIA3_003_TBKQ_QTMT_DOT14_T6_2025.pdf,archive_pre_final\excluded_from_final_corpus_20260531_104204\RIA3_003_TBKQ_QTMT_DOT14_T6_2025.pdf,excluded from final corpus by user decision,MOVED_VERIFIED,1843283
