query_group,n_queries,n_rows,has_explanation_rate,top1_has_explanation_rate,query_has_any_explanation_rate,has_entity_match_rate,has_metadata_evidence_rate,has_kg_evidence_rate,has_kg_relation_or_fact_rate,mean_explanation_length
biosecurity-management,6,60,1.0,1.0,1.0,0.5,0.5,0.5,0.5,94.85
disease-specific,6,60,1.0,1.0,1.0,1.0,1.0,0.9,0.9,290.5
hatchery-production-mode,4,40,1.0,1.0,1.0,0.825,0.825,0.5,0.5,152.925
local,7,70,1.0,1.0,1.0,0.45714285714285713,0.45714285714285713,0.37142857142857144,0.37142857142857144,236.0857142857143
species-location,5,50,1.0,1.0,1.0,0.86,0.86,0.56,0.56,162.8
