doc_id,doc_uri,token,source_field,candidate_property,normalized_label,candidate_class,candidate_property_suggested,target_uri,decision,reason,confidence
FAO_016,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_016,aquatic species,related_taxon,aboutTaxon,aquatic species,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_016,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_016,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_016,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_016,shellfish,related_taxon,aboutTaxon,shellfish,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_017,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_017,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_017,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_017,aquatic animals,related_taxon,aboutTaxon,aquatic animals,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_018,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_018,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_018,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_018,aquatic animals,related_taxon,aboutTaxon,aquatic animals,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_018,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_018,Europe,related_location,aboutLocation,europe,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_019,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_019,aquatic species,related_taxon,aboutTaxon,aquatic species,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_019,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_019,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_019,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_019,shrimp,related_taxon,aboutTaxon,shrimp,Shrimp,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_020,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_020,aquatic animals,related_taxon,aboutTaxon,aquatic animals,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_020,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_020,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_020,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_020,shrimp,related_taxon,aboutTaxon,shrimp,Shrimp,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_021,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_021,aquatic animals,related_taxon,aboutTaxon,aquatic animals,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_021,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_021,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_021,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_021,shrimp,related_taxon,aboutTaxon,shrimp,Shrimp,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_022,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_022,aquatic animals,related_taxon,aboutTaxon,aquatic animals,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_022,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_022,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_022,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_022,shrimp,related_taxon,aboutTaxon,shrimp,Shrimp,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_023,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_023,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_024,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_024,coastal areas,related_location,aboutLocation,coastal areas,,aboutLocation,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Ven_bien,ADD_EXACT_ALIAS,exact ontology alias match for expected entity type,high
FAO_024,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_024,marine environment,related_location,aboutLocation,marine environment,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_025,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_025,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_025,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_025,Uganda,related_location,aboutLocation,uganda,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
